Date,Open,High,Low,Close,Volume
2010-09-30,3711.959961,3782.669922,3693.459961,3715.179932,160919000
2010-10-01,3722.929932,3754.080078,3672.899902,3692.090088,135442000
2010-10-04,3689.179932,3691.800049,3640.479980,3649.810059,113094000
2010-10-05,3648.959961,3742.659912,3638.340088,3731.929932,124876600
2010-10-06,3750.870117,3779.709961,3746.629883,3764.909912,145799900
2010-10-07,3769.260010,3799.709961,3732.449951,3770.469971,134926800
2010-10-08,3763.350098,3774.919922,3738.560059,3763.179932,123024800
2010-10-11,3770.030029,3782.020020,3763.639893,3768.489990,99536800
2010-10-12,3738.040039,3756.250000,3700.260010,3748.860107,127968000
2010-10-13,3768.850098,3828.340088,3766.929932,3828.340088,126062800
2010-10-14,3833.419922,3845.360107,3812.409912,3819.169922,153148800
2010-10-15,3829.689941,3837.510010,3798.929932,3827.370117,145198400
2010-10-18,3803.459961,3842.389893,3798.129883,3834.500000,88536800
2010-10-19,3828.750000,3853.959961,3794.889893,3807.169922,137790400
2010-10-20,3793.389893,3832.870117,3786.360107,3828.149902,115420600
2010-10-21,3820.729980,3889.739990,3811.439941,3878.270020,135072000
2010-10-22,3859.330078,3887.820068,3855.909912,3868.540039,103381200
2010-10-25,3894.909912,3894.909912,3862.800049,3870.000000,90223000
2010-10-26,3854.580078,3866.350098,3818.949951,3852.659912,113039400
2010-10-27,3836.120117,3867.889893,3811.000000,3815.770020,125054700
2010-10-28,3838.129883,3862.969971,3821.879883,3834.840088,115316500
2010-10-29,3828.709961,3857.580078,3807.800049,3833.500000,112293600
2010-11-01,3865.040039,3873.770020,3812.370117,3841.110107,88108800
2010-11-02,3830.399902,3879.350098,3830.139893,3865.719971,96852400
2010-11-03,3880.080078,3890.899902,3834.679932,3842.939941,116760500
2010-11-04,3885.169922,3931.760010,3885.169922,3916.780029,244575600
2010-11-05,3928.010010,3937.639893,3893.929932,3916.729980,156369000
2010-11-08,3915.340088,3919.860107,3896.699951,3913.699951,116917100
2010-11-09,3903.850098,3961.699951,3902.639893,3945.709961,131200100
2010-11-10,3923.250000,3932.669922,3869.199951,3888.449951,181527000
2010-11-11,3900.830078,3903.199951,3848.100098,3867.350098,168785200
2010-11-12,3796.610107,3853.310059,3769.590088,3831.120117,171830200
2010-11-15,3810.239990,3875.629883,3797.750000,3864.239990,108250800
2010-11-16,3836.729980,3842.120117,3762.469971,3762.469971,159943600
2010-11-17,3753.760010,3798.729980,3753.060059,3792.350098,114469600
2010-11-18,3823.530029,3873.580078,3822.149902,3867.969971,149425000
2010-11-19,3871.500000,3871.500000,3827.030029,3860.159912,118989600
2010-11-22,3892.649902,3896.070068,3812.479980,3818.889893,132362800
2010-11-23,3792.139893,3803.860107,3724.419922,3724.419922,157190800
2010-11-24,3738.469971,3760.780029,3703.719971,3747.610107,159483400
2010-11-25,3752.419922,3767.689941,3730.040039,3760.419922,103016400
2010-11-26,3728.989990,3743.979980,3687.429932,3728.649902,139703200
2010-11-29,3748.100098,3773.899902,3636.959961,3636.959961,176573200
2010-11-30,3643.629883,3656.810059,3591.780029,3610.439941,202078200
2010-12-01,3634.610107,3674.959961,3620.639893,3669.290039,176499800
2010-12-02,3695.409912,3754.820068,3650.030029,3747.040039,186177800
2010-12-03,3744.239990,3775.750000,3721.379883,3750.550049,151577200
2010-12-06,3758.580078,3763.399902,3723.159912,3749.229980,110872600
2010-12-07,3759.590088,3835.060059,3758.909912,3810.500000,143962000
2010-12-08,3790.479980,3857.860107,3784.379883,3831.979980,123966000
2010-12-09,3857.689941,3867.340088,3836.830078,3858.050049,147906200
2010-12-10,3870.459961,3873.639893,3850.689941,3857.350098,104236200
2010-12-13,3872.830078,3904.429932,3868.780029,3892.439941,114030000
2010-12-14,3893.959961,3902.870117,3881.639893,3902.870117,98932400
2010-12-15,3889.840088,3892.929932,3865.169922,3880.189941,108015800
2010-12-16,3878.250000,3897.149902,3861.100098,3888.360107,102082600
2010-12-17,3901.419922,3906.090088,3865.100098,3867.350098,152973800
2010-12-20,3873.239990,3918.689941,3869.199951,3885.080078,100344000
2010-12-21,3903.159912,3936.060059,3899.219971,3927.489990,92340000
