Date,Open,High,Low,Close,Volume
2010-09-30,22287.080078,22381.330078,22202.429688,22358.169922,2329902800
2010-10-04,22542.359375,22734.880859,22542.359375,22618.660156,2591989000
2010-10-05,22532.039063,22670.810547,22504.050781,22639.140625,1820436400
2010-10-06,23006.199219,23023.130859,22872.419922,22880.410156,3266486800
2010-10-07,22996.730469,22996.730469,22824.050781,22884.320313,2175196000
2010-10-08,22861.150391,23093.769531,22861.150391,22944.179688,1559428700
2010-10-11,23169.130859,23302.289063,23151.619141,23207.310547,2067039600
2010-10-12,23161.210938,23254.140625,23055.609375,23121.699219,1655482800
2010-10-13,23329.320313,23471.660156,23035.570313,23457.689453,2514523800
2010-10-14,23685.259766,23866.869141,23614.400391,23852.169922,4144523600
2010-10-15,23733.789063,23862.539063,23650.300781,23757.630859,3594968800
2010-10-18,23693.119141,23716.480469,23467.449219,23469.380859,2263839600
2010-10-19,23551.310547,23768.089844,23551.310547,23763.730469,1616146200
2010-10-20,23423.820313,23689.990234,23307.490234,23556.500000,2639446200
2010-10-21,23736.789063,23736.789063,23450.830078,23649.480469,1713519600
2010-10-22,23647.320313,23667.419922,23465.759766,23517.539063,1259332100
2010-10-25,23551.140625,23781.880859,23519.160156,23627.910156,1441732700
2010-10-26,23727.630859,23727.630859,23546.330078,23601.240234,1401312000
2010-10-27,23543.730469,23708.669922,23148.179688,23164.580078,1882652400
2010-10-28,23290.539063,23290.539063,23136.970703,23210.859375,1333725400
2010-10-29,23177.689453,23222.349609,22880.679688,23096.320313,1905046800
2010-11-01,23366.820313,23656.650391,23366.820313,23652.939453,1709508800
2010-11-02,23608.179688,23724.869141,23566.880859,23671.419922,1622167200
2010-11-03,23802.060547,24163.839844,23684.990234,24144.669922,2699609200
2010-11-04,24377.070313,24550.080078,24345.929688,24535.630859,2315843600
2010-11-05,24905.429688,24931.849609,24732.900391,24876.820313,2815142000
2010-11-08,24838.220703,24988.570313,24732.519531,24964.369141,1811291000
2010-11-09,24858.339844,24963.259766,24687.300781,24710.599609,2258169600
2010-11-10,24672.500000,24692.539063,24421.029297,24500.609375,1945425200
2010-11-11,24598.810547,24887.580078,24505.150391,24700.300781,1795744400
2010-11-12,24404.910156,24608.660156,24187.269531,24222.580078,2093440400
2010-11-15,24371.769531,24382.140625,24002.650391,24027.179688,1668533900
2010-11-16,24009.839844,24085.230469,23578.869141,23693.019531,1923820400
2010-11-17,23432.230469,23618.240234,23192.490234,23214.460938,2171390000
2010-11-18,23437.800781,23671.509766,23327.289063,23637.390625,1718261200
2010-11-19,23625.310547,23686.419922,23252.330078,23605.710938,1903795800
2010-11-22,23499.630859,23592.769531,23419.410156,23524.019531,1649739600
2010-11-23,23290.279297,23322.169922,22871.109375,22896.140625,2174817200
2010-11-24,23107.439453,23166.689453,22971.210938,23023.859375,1464288200
2010-11-25,23110.019531,23283.220703,23037.859375,23054.679688,1278446100
2010-11-26,23033.000000,23107.669922,22782.980469,22877.250000,1134013900
2010-11-29,22832.050781,23187.750000,22785.279297,23166.220703,1211558300
2010-11-30,23122.400391,23199.439453,22844.529297,23007.990234,1711364400
2010-12-01,22973.800781,23325.789063,22842.119141,23249.800781,1622216800
2010-12-02,23554.750000,23575.380859,23388.740234,23448.779297,1727085200
2010-12-03,23555.759766,23611.039063,23286.539063,23320.519531,1638261100
2010-12-06,23507.199219,23612.250000,23213.710938,23237.689453,1448276400
2010-12-07,23177.400391,23475.289063,23101.810547,23428.150391,1395045300
2010-12-08,23362.660156,23374.369141,22998.339844,23092.519531,1469118800
2010-12-09,23167.869141,23269.359375,23083.160156,23171.800781,1359040600
2010-12-10,23091.519531,23202.289063,22965.900391,23162.910156,1351974400
2010-12-13,23362.320313,23490.179688,23233.400391,23317.609375,1108577600
2010-12-14,23451.400391,23453.419922,23328.009766,23431.189453,1005933600
2010-12-15,23371.339844,23371.339844,22876.880859,22975.349609,1731628800
2010-12-16,22949.779297,22992.070313,22598.960938,22668.779297,1490108700
2010-12-17,22660.880859,22732.619141,22519.609375,22714.849609,1426267400
2010-12-20,22708.429688,22716.779297,22392.669922,22639.080078,1175563700
2010-12-21,22711.460938,23025.470703,22671.609375,22993.859375,1262033000
2010-12-22,23039.849609,23160.439453,22990.689453,23045.189453,1191357100
2010-12-23,23139.580078,23151.380859,22867.929688,22902.970703,739929600
2010-12-24,22932.500000,22948.250000,22776.619141,22833.800781,531784200
2010-12-28,22833.800781,22833.800781,22529.259766,22621.730469,1031032400
2010-12-29,22725.380859,22981.519531,22663.800781,22969.300781,796503200
2010-12-30,22987.839844,23111.269531,22890.560547,22999.339844,979943400
2010-12-31,23079.839844,23102.050781,23012.500000,23035.449219,643109600
2011-01-03,23135.640625,23443.529297,23057.519531,23436.050781,1066929900
2011-01-04,23477.310547,23695.609375,23408.089844,23668.480469,1330693400
2011-01-05,23650.179688,23773.980469,23579.740234,23757.820313,1277768100
2011-01-06,23861.220703,23861.220703,23698.380859,23786.300781,1147689000
2011-01-07,23744.029297,23880.769531,23654.039063,23686.630859,1287345900
2011-01-10,23715.470703,23783.830078,23481.800781,23527.259766,1087090700
2011-01-11,23606.759766,23855.830078,23512.220703,23760.339844,1171815200
2011-01-12,23857.169922,24168.359375,23857.169922,24125.609375,1592876200
2011-01-13,24347.339844,24378.810547,24208.449219,24238.980469,2323232000
2011-01-14,24273.619141,24347.259766,24187.900391,24283.230469,1531630800
2011-01-17,24364.070313,24364.070313,24098.029297,24156.970703,1209066000
2011-01-18,24189.830078,24382.009766,24104.339844,24153.980469,1286503700
2011-01-19,24321.250000,24434.400391,24243.880859,24419.619141,1356744900
2011-01-20,24248.320313,24248.320313,23963.859375,24003.699219,1531227300
2011-01-21,23913.189453,24130.160156,23840.289063,23876.859375,1335216400
2011-01-24,23970.300781,23970.300781,23751.720703,23801.779297,1201912500
2011-01-25,23891.679688,23999.109375,23769.460938,23788.830078,1038887000
2011-01-26,23802.880859,23976.369141,23662.179688,23843.240234,1318215100
2011-01-27,23771.119141,24023.679688,23734.699219,23779.619141,1585159500
2011-01-28,23763.740234,23763.740234,23580.419922,23617.019531,1501890600
2011-01-31,23314.689453,23520.539063,23285.599609,23447.339844,1962800000
2011-02-01,23451.619141,23552.230469,23422.720703,23482.949219,1362605700
2011-02-02,23700.160156,23922.740234,23671.509766,23908.960938,1087497900
2011-02-07,23981.740234,23981.740234,23530.800781,23553.589844,1480979600
2011-02-08,23613.490234,23616.830078,23396.169922,23484.300781,1683188000
2011-02-09,23535.410156,23591.500000,23128.720703,23164.029297,2265545200
2011-02-10,23035.640625,23069.419922,22668.019531,22708.619141,2501942600
2011-02-11,22752.550781,22861.529297,22446.669922,22828.919922,1973130000
2011-02-14,22920.289063,23187.820313,22899.580078,23121.060547,1623695500
2011-02-15,23037.029297,23104.980469,22881.160156,22899.779297,0
2011-02-16,23015.390625,23183.279297,22809.009766,23156.970703,1289275200
2011-02-17,23173.480469,23320.429688,23079.470703,23301.839844,1447116400
2011-02-18,23342.669922,23614.609375,23316.300781,23595.240234,2141906600
2011-02-21,23500.109375,23585.630859,23444.769531,23485.419922,1226047400
2011-02-22,23170.519531,23170.519531,22938.130859,22990.810547,1736180400
2011-02-23,22983.369141,23055.470703,22837.089844,22906.900391,1287207300
2011-02-24,22856.779297,23036.929688,22575.990234,22601.039063,1506227400
2011-02-25,22727.039063,23091.320313,22712.960938,23012.369141,1403488800
2011-02-28,22900.150391,23388.320313,22886.369141,23338.019531,1782741200
2011-03-01,23317.960938,23478.699219,23244.109375,23396.419922,1802511600
2011-03-02,23114.429688,23114.429688,22915.650391,23048.660156,1491985100
2011-03-03,23102.830078,23329.380859,23097.150391,23122.419922,1643360500
2011-03-04,23406.769531,23506.669922,23374.599609,23408.859375,1855060400
2011-03-07,23257.140625,23491.710938,23229.070313,23313.189453,1321120200
2011-03-08,23401.490234,23731.890625,23307.699219,23711.699219,1782726000
2011-03-09,23863.929688,23934.070313,23775.699219,23810.109375,2028495400
2011-03-10,23818.640625,23818.640625,23564.949219,23614.890625,1406058700
2011-03-11,23437.500000,23514.730469,23105.990234,23249.779297,1671018400
2011-03-14,23207.150391,23345.880859,23078.939453,23345.880859,1201157200
2011-03-15,23110.710938,23110.710938,22253.470703,22678.250000,2969021200
2011-03-16,22814.500000,22814.500000,22541.550781,22700.880859,1775007000
2011-03-17,22237.240234,22393.980469,22123.259766,22284.429688,1700522800
2011-03-18,22387.980469,22464.349609,22273.699219,22300.230469,2024994000
2011-03-21,22401.060547,22711.839844,22395.300781,22685.220703,1744941600
2011-03-22,22732.949219,22880.589844,22654.220703,22857.900391,1450412700
2011-03-23,22797.939453,22849.230469,22714.859375,22825.400391,1383280100
2011-03-24,23005.490234,23050.869141,22890.830078,22915.279297,1848430000
2011-03-25,23135.380859,23179.259766,23068.089844,23158.669922,2696387200
2011-03-28,23114.070313,23261.679688,22952.429688,23068.189453,1989092000
2011-03-29,22997.349609,23137.150391,22965.339844,23060.359375,1352926400
2011-03-30,23192.789063,23505.109375,23180.919922,23451.429688,2043971200
